date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral
2002-05-14,2002,Friendly,0.3,Saudi Arabia,Senegal,3.0,2.0,1,False
2002-05-14,2002,Friendly,0.3,Slovakia,Uzbekistan,4.0,1.0,1,False
2002-05-14,2002,Friendly,0.3,Wales,Germany,1.0,0.0,1,False
2002-05-15,2002,Friendly,0.3,Greece,Cyprus,3.0,1.0,1,False
2002-05-15,2002,Friendly,0.3,Switzerland,Canada,1.0,3.0,-1,False
2002-05-16,2002,Friendly,0.3,China PR,Uruguay,0.0,2.0,-1,False
2002-05-16,2002,Friendly,0.3,Republic of Ireland,Nigeria,1.0,2.0,-1,False
2002-05-16,2002,Friendly,0.3,South Korea,Scotland,4.0,1.0,1,False
2002-05-16,2002,Friendly,0.3,Mexico,Bolivia,1.0,0.0,1,True
2002-05-16,2002,Friendly,0.3,United States,Jamaica,5.0,0.0,1,False
2002-05-17,2002,Friendly,0.3,Myanmar,Malaysia,1.0,1.0,0,False
2002-05-17,2002,Friendly,0.3,Denmark,Cameroon,2.0,1.0,1,False
2002-05-17,2002,Friendly,0.3,Russia,Belarus,1.0,1.0,0,False
2002-05-17,2002,Friendly,0.3,Slovenia,Ghana,2.0,0.0,1,False
2002-05-17,2002,Friendly,0.3,Sweden,Paraguay,1.0,2.0,-1,False
2002-05-17,2002,Friendly,0.3,Ukraine,Serbia,2.0,0.0,1,True
2002-05-17,2002,Friendly,0.3,Canary Islands,Venezuela,0.0,2.0,-1,False
2002-05-18,2002,Friendly,0.3,Czech Republic,Italy,1.0,0.0,1,False
2002-05-18,2002,Friendly,0.3,France,Belgium,1.0,2.0,-1,False
2002-05-18,2002,Friendly,0.3,Germany,Austria,6.0,2.0,1,False
2002-05-18,2002,Unity Cup,0.5,Jamaica,Nigeria,0.0,1.0,-1,True
2002-05-18,2002,COSAFA Cup,0.5,Malawi,Angola,2.0,1.0,1,False
2002-05-18,2002,Friendly,0.3,Poland,Estonia,1.0,0.0,1,False
2002-05-18,2002,Friendly,0.3,Tanzania,Kenya,0.0,5.0,-1,False
2002-05-18,2002,Friendly,0.3,Catalonia,Brazil,1.0,3.0,-1,False
2002-05-19,2002,Friendly,0.3,Belarus,Ukraine,2.0,0.0,1,True
2002-05-19,2002,Friendly,0.3,Myanmar,Malaysia,0.0,0.0,0,False
2002-05-19,2002,Friendly,0.3,Russia,Serbia,1.0,1.0,0,False
2002-05-19,2002,Friendly,0.3,United States,Netherlands,0.0,2.0,-1,False
