date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral,home_elo,away_elo,elo_diff,home_elo_adj,expected_home,K,elo_delta,home_form,away_form,form_diff
1982-06-25,1982,FIFA World Cup,1.0,England,Kuwait,1.0,0.0,1,True,1797.1,1644.0,153.2,1797.1,0.7072,60,17.57,62.880000000000024,-69.49000000000001,132.37000000000003
1982-06-25,1982,FIFA World Cup,1.0,Germany,Austria,1.0,0.0,1,True,1868.5,1802.0,66.5,1868.5,0.5945,60,24.33,-7.4200000000000195,28.480000000000025,-35.90000000000005
1982-06-25,1982,FIFA World Cup,1.0,Spain,Northern Ireland,0.0,1.0,-1,False,1711.4,1613.9,97.5,1811.4,0.7571,60,-45.42,-38.24000000000001,42.879999999999974,-81.11999999999998
1982-06-28,1982,FIFA World Cup,1.0,Austria,France,0.0,1.0,-1,True,1777.7,1685.5,92.2,1777.7,0.6297,60,-37.78,-15.409999999999975,30.42,-45.82999999999998
1982-06-28,1982,FIFA World Cup,1.0,Poland,Belgium,3.0,0.0,1,True,1790.0,1766.3,23.7,1790.0,0.5341,60,27.95,15.079999999999991,0.4999999999999858,14.580000000000005
1982-06-29,1982,FIFA World Cup,1.0,Germany,England,0.0,0.0,0,True,1892.8,1814.7,78.1,1892.8,0.6106,60,-6.63,-17.21000000000002,75.26000000000002,-92.47000000000004
1982-06-29,1982,FIFA World Cup,1.0,Italy,Argentina,2.0,1.0,1,True,1724.4,1790.9,-66.4,1724.4,0.4056,60,35.67,21.279999999999994,-31.540000000000035,52.82000000000003
1982-07-01,1982,FIFA World Cup,1.0,Austria,Northern Ireland,2.0,2.0,0,True,1739.9,1659.3,80.5,1739.9,0.6139,60,-6.83,-25.869999999999976,50.91999999999997,-76.78999999999995
1982-07-01,1982,FIFA World Cup,1.0,Belgium,Russia,0.0,1.0,-1,True,1738.3,1808.3,-70.0,1738.3,0.4006,60,-24.03,-12.170000000000014,-1.1699999999999946,-11.00000000000002
1982-07-02,1982,FIFA World Cup,1.0,Argentina,Brazil,1.0,3.0,-1,True,1755.2,1932.2,-177.0,1755.2,0.2653,60,-15.92,-50.820000000000036,64.96999999999997,-115.79
1982-07-02,1982,FIFA World Cup,1.0,Spain,Germany,1.0,2.0,-1,False,1666.0,1886.2,-220.2,1766.0,0.3336,60,-20.02,-54.08000000000001,1.0199999999999818,-55.099999999999994
1982-07-04,1982,FIFA World Cup,1.0,France,Northern Ireland,4.0,1.0,1,True,1723.2,1666.2,57.1,1723.2,0.5814,60,25.12,69.72,36.09999999999997,33.620000000000026
1982-07-04,1982,FIFA World Cup,1.0,Poland,Russia,0.0,0.0,0,True,1818.0,1832.4,-14.4,1818.0,0.4793,60,1.24,32.11999999999999,1.7800000000000058,30.339999999999986
1982-07-05,1982,FIFA World Cup,1.0,Italy,Brazil,3.0,2.0,1,True,1760.1,1948.1,-188.0,1760.1,0.2531,60,44.81,68.61,18.319999999999972,50.29000000000003
1982-07-05,1982,FIFA World Cup,1.0,Spain,England,0.0,0.0,0,False,1646.0,1821.3,-175.4,1746.0,0.3932,60,6.41,-51.400000000000006,65.33000000000003,-116.73000000000003
